"month","price","item"
07,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,263.09,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,263.13,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,264.11,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,264.83,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,265.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,265.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,265.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,265.90,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,266.17,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,266.91,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,261.01,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,267.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,271.12,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,275.46,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,276.90,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,278.93,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,282.98,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,285.76,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,268.41,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,238.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,274.15,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,307.41,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,315.56,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,193.11,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,274.80,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,292.75,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,316.08,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,381.24,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,398.25,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,392.02,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,447.12,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,426.37,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,431.00,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,193.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,204.36,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,263.09,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,263.13,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,265.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,266.17,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,309.78,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,236.10,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,264.70,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,265.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,394.67,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,119.00,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
06,148.84,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
07,148.50,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
08,156.52,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
09,184.76,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
10,186.12,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
11,212.00,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
12,164.31,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
01,196.98,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
02,191.94,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
03,231.64,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
04,227.08,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
05,229.86,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
06,382.89,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
07,376.47,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
08,377.77,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
09,325.00,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
10,781.42,"black-decker-ldx120px-lithium-drill-and-project-kit-20-volt"
11,13535.00,"toyota-camry-2015"
10,13674.00,"toyota-camry-2015"
09,14001.00,"toyota-camry-2015"
08,14335.00,"toyota-camry-2015"
07,14884.00,"toyota-camry-2015"
06,15455.00,"toyota-camry-2015"
05,16046.00,"toyota-camry-2015"
04,16661.00,"toyota-camry-2015"
03,17299.00,"toyota-camry-2015"
02,17962.00,"toyota-camry-2015"
01,18650.00,"toyota-camry-2015"
12,19364.00,"toyota-camry-2015"
11,11949.00,"honda-civic-2015"
10,12138.00,"honda-civic-2015"
09,12634.00,"honda-civic-2015"
08,13149.00,"honda-civic-2015"
07,13379.00,"honda-civic-2015"
06,13614.00,"honda-civic-2015"
05,13852.00,"honda-civic-2015"
04,14094.00,"honda-civic-2015"
03,14341.00,"honda-civic-2015"
02,14592.00,"honda-civic-2015"
01,14847.00,"honda-civic-2015"
12,15107.00,"honda-civic-2015"
01,1499.99,"apple-mac-book"
01,1499.99,"apple-mac-book"
02,1499.99,"apple-mac-book"
03,1399.99,"apple-mac-book"
05,1399.99,"apple-mac-book"
06,1499.99,"apple-mac-book"
08,1449.99,"apple-mac-book"
10,1449.99,"apple-mac-book"
11,1299.99,"apple-mac-book"
12,1199.99,"apple-mac-book"
01,1499.99,"apple-mac-book"
02,1499.99,"apple-mac-book"
02,1499.99,"apple-mac-book"
03,1299.99,"apple-mac-book"
04,1199.99,"apple-mac-book"
06,1099.99,"apple-mac-book"
07,1499.99,"apple-mac-book"
08,1499.99,"apple-mac-book"
09,1499.99,"apple-mac-book"
11,1348.99,"apple-mac-book"
11,324.00,"nintendo-entertainment-system-nes-classic-edition"
12,316.36,"nintendo-entertainment-system-nes-classic-edition"
01,316.45,"nintendo-entertainment-system-nes-classic-edition"
02,320.00,"nintendo-entertainment-system-nes-classic-edition"
03,344.99,"nintendo-entertainment-system-nes-classic-edition"
04,331.08,"nintendo-entertainment-system-nes-classic-edition"
05,348.88,"nintendo-entertainment-system-nes-classic-edition"
06,372.99,"nintendo-entertainment-system-nes-classic-edition"
07,379.99,"nintendo-entertainment-system-nes-classic-edition"
08,390.43,"nintendo-entertainment-system-nes-classic-edition"
09,395.95,"nintendo-entertainment-system-nes-classic-edition"
10,399.00,"nintendo-entertainment-system-nes-classic-edition"
11,399.99,"nintendo-entertainment-system-nes-classic-edition"
12,419.98,"nintendo-entertainment-system-nes-classic-edition"
01,419.99,"nintendo-entertainment-system-nes-classic-edition"
02,424.99,"nintendo-entertainment-system-nes-classic-edition"
03,445.00,"nintendo-entertainment-system-nes-classic-edition"
04,449.99,"nintendo-entertainment-system-nes-classic-edition"
05,449.99,"nintendo-entertainment-system-nes-classic-edition"
